name,address,type,has_pet_space,is_emergency_flood,is_emergency_landslide,is_emergency_tidalwave,is_emergency_large_fire,has_parking,has_barrier_free_toilet,is_designated_shelter,is_welfare_shelter_primary,emergency_space_note,notes,contact_hq,source_asof_date,lat,lng,capacity,phone,website_url,pin_icon
御所見市民センター 【地区防災拠点本部】,打戻1760-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4015208,139.4155096,,,,
御所見小学校,打戻1902,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4033456,139.4165907,,,,
中里小学校,獺郷68,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3991831,139.4139918,,,,
御所見中学校,用田500,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4022821,139.4210277,,,,
葛原公民館,葛原1385,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4072466,139.4307674,,,,
御所見小学校周辺（御所見市民センター含む）,打戻1902他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4033456,139.4165907,,,,
長後市民センター 【地区防災拠点本部】,長後513,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.41235169999999,139.4612166,,,,
長後小学校,長後770,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4161691,139.4685289,,,,
富士見台小学校,下土棚591-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4090816,139.4591527,,,,
長後中学校,下土棚590,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4090701,139.4609007,,,,
高倉中学校,高倉1122,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4084142,139.4731381,,,,
県立藤沢総合高等学校,長後1909,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4155161,139.4582291,,,,
老人福祉センターこぶし荘,下土棚800-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4077922,139.4568486,,,,
藤沢湘南台病院,高倉2345,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4168307,139.4704003,,,,
長後中学校周辺（富士見台小含む）,下土棚590他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4090701,139.4609007,,,,
遠藤市民センター 【地区防災拠点本部】,遠藤2984-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.387195,139.4400483,,,,
秋葉台小学校,遠藤2959,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3890557,139.4411991,,,,
秋葉台中学校,遠藤2000-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3873518,139.4441592,,,,
慶應義塾大学,遠藤5322,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3871335,139.4293853,,,,
秋葉台文化体育館,遠藤2000-1,accompany,False,False,False,False,False,False,False,False,False,,主にペット同伴避難及び車両避難用,,2025-04-01,35.389022,139.4443329,,,,
秋葉台公園周辺（秋葉台中含む）,遠藤2000-1他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.389022,139.4443329,,,,
六会市民センター 【地区防災拠点本部】,亀井野4-8-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3852067,139.4747673,,,,
俣野小学校,西俣野2660,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3668641,139.4833114,,,,
亀井野小学校,亀井野3-31,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3822816,139.4777477,,,,
天神小学校,天神町1-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3761234,139.4624898,,,,
