name,address,type,has_pet_space,is_emergency_flood,is_emergency_landslide,is_emergency_tidalwave,is_emergency_large_fire,has_parking,has_barrier_free_toilet,is_designated_shelter,is_welfare_shelter_primary,emergency_space_note,notes,contact_hq,source_asof_date,lat,lng,capacity,phone,website_url,pin_icon
御所見市民センター 【地区防災拠点本部】,打戻1760-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
御所見小学校,打戻1902,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
中里小学校,獺郷68,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
御所見中学校,用田500,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
葛原公民館,葛原1385,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
御所見小学校周辺（御所見市民センター含む）,打戻1902他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
長後市民センター 【地区防災拠点本部】,長後513,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
長後小学校,長後770,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
富士見台小学校,下土棚591-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
長後中学校,下土棚590,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
高倉中学校,高倉1122,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
県立藤沢総合高等学校,長後1909,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
老人福祉センターこぶし荘,下土棚800-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
藤沢湘南台病院,高倉2345,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
長後中学校周辺（富士見台小含む）,下土棚590他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
遠藤市民センター 【地区防災拠点本部】,遠藤2984-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
秋葉台小学校,遠藤2959,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
秋葉台中学校,遠藤2000-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
慶應義塾大学,遠藤5322,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
秋葉台文化体育館,遠藤2000-1,accompany,False,False,False,False,False,False,False,False,False,,主にペット同伴避難及び車両避難用,,2025-04-01,,,,,,
秋葉台公園周辺（秋葉台中含む）,遠藤2000-1他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
六会市民センター 【地区防災拠点本部】,亀井野4-8-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
俣野小学校,西俣野2660,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
亀井野小学校,亀井野3-31,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
天神小学校,天神町1-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
石川小学校,石川4-19-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
六会小学校,亀井野550,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
六会中学校,亀井野1000,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
日本大学藤沢高等学校,亀井野1866,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
日本大学生物資源科学部,亀井野1866,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
日本大学藤沢小学校,亀井野1866,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
県立藤沢工科高等学校,今田744,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
北部環境事業所,石川2168,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南台市民センター 【地区防災拠点本部】,湘南台1-8,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南台小学校,湘南台5-23,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南台中学校,湘南台7-18-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
県立湘南台高等学校,円行1986,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
多摩大学,円行802,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
藤沢市まちづくり協会ビル,円行2-3-17,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南台公園周辺（湘南台中含む）,湘南台7-16他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南大庭市民センター 【地区防災拠点本部】,大庭5406-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
駒寄小学校,大庭5527-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
小糸小学校,大庭5062-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
大庭小学校,大庭5307-7,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
滝の沢小学校,遠藤641-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
大庭中学校,大庭5416-6,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
滝の沢中学校,遠藤699-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
県立藤沢西高等学校,大庭3608-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
大庭城址公園,大庭5230-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
滝の沢小学校周辺（遠藤公園含む）,遠藤641-3他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
善行市民センター 【地区防災拠点本部】,善行1-2-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
善行小学校,善行団地6-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
大越小学校,善行坂1-19-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
善行中学校,石川3988-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
荏原湘南スポーツセンター,稲荷1-9-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
藤沢翔陵高等学校,善行7-1-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
聖園女学院,みその台1-4,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
県立総合教育センター,善行7-1-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
県立スポーツセンター,善行7-1-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
明治市民センター 【地区防災拠点本部】,辻堂新町1-11-23,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
明治小学校,城南3-3-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
羽鳥小学校,羽鳥3-11-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
明治中学校,辻堂新町2-13-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
羽鳥中学校,羽鳥4-13-14,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
芙蓉カントリー倶楽部,大庭2320,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
神台公園周辺（湘南藤沢徳洲会病院含む）,辻堂神台1-6-2他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
藤沢市民センター 【地区防災拠点本部】,本町1-12-17,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
大清水小学校,大鋸1433,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
大清水中学校,大鋸1400,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
県立藤沢清流高等学校,大鋸1450,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
本町小学校,本町2-6-17,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
第一中学校,鵠沼神明5-10-9,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
県立湘南高等学校,鵠沼神明5-6-10,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
石名坂温水プール,本藤沢1-10-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
済美館（藤沢市民センター分館）,本町4-6-16,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
県立湘南高等学校（周辺）,鵠沼神明5-6-10他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
大道小学校,朝日町3-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
大鋸小学校,大鋸1020,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
藤沢小学校,本町1-9-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
藤嶺学園藤沢高等学校,西富1-7-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
翠ヶ丘公園,西富593-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
村岡市民センター 【地区防災拠点本部】,弥勒寺1-7-7,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,,,,,,
新林小学校,川名400,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
村岡小学校,弥勒寺1-16-1,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,,,,,,
高谷小学校,高谷9-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
